epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.539341926574707,9.999999747378752e-05,4.49182653427124,0.6899999976158142,1.9574916362762451
1,0.6845493316650391,9.999999747378752e-05,3.362135887145996,0.7433333396911621,1.3312385082244873
2,0.7131616473197937,9.999999747378752e-05,3.025576114654541,0.7866666913032532,1.4016847610473633
3,0.7496423721313477,9.999999747378752e-05,2.9552388191223145,0.8133333325386047,1.1933784484863281
4,0.7396280169487,9.999999747378752e-05,2.9208693504333496,0.8333333134651184,1.205079197883606
5,0.7503576278686523,9.999999747378752e-05,2.6138594150543213,0.8600000143051147,0.8397889733314514
6,0.7854077219963074,9.999999747378752e-05,2.1412105560302734,0.8833333253860474,0.7247680425643921
7,0.7947067022323608,9.999999747378752e-05,1.9533064365386963,0.8833333253860474,0.9412175416946411
8,0.8211731314659119,9.999999747378752e-05,1.8372461795806885,0.8966666460037231,0.8033053874969482
9,0.8505007028579712,9.999999747378752e-05,1.5660858154296875,0.8700000047683716,1.1031067371368408
10,0.8497853875160217,4.999999873689376e-05,1.390505075454712,0.8966666460037231,0.86867755651474
11,0.8390557765960693,4.999999873689376e-05,1.573179841041565,0.8933333158493042,0.9081695675849915
12,0.8340486288070679,4.999999873689376e-05,1.4757202863693237,0.8933333158493042,0.8356517553329468
